scenario,model,failure_type,severity,notes
high_wind,CA,over-spread,high,Policy failed to reduce fire significantly (burned 26 vs baseline 29)
high_wind,SA,over-suppression,medium,High suppression (100 actions) with low efficiency (0.07)
low_fuel,CA,none,low,"Policy succeeded (burned 6, suppression 100)"
low_fuel,SA,none (aggressive),low,"Aggressive but effective suppression (100 actions, 3 burned)"
oasis_cluster,CA,over-spread,high,Policy failed to reduce fire significantly (burned 100 vs baseline 99)
oasis_cluster,SA,partial containment,medium,Moderate fire reduction but still significant burn area (64)
multi_ignition,CA,over-spread,high,Policy failed to reduce fire significantly (burned 90 vs baseline 94)
multi_ignition,SA,none,low,"Policy succeeded (burned 43, suppression 100)"
narrow_corridor,CA,none,low,"Policy succeeded (burned 8, suppression 100)"
narrow_corridor,SA,none (aggressive),low,"Aggressive but effective suppression (100 actions, 3 burned)"
extreme_wind,CA,over-spread,high,Policy failed to reduce fire significantly (burned 36 vs baseline 40)
extreme_wind,SA,over-spread,high,Policy failed to reduce fire significantly (burned 56 vs baseline 40)
fuel_depletion,CA,over-spread,high,Policy failed to reduce fire significantly (burned 3 vs baseline 4)
fuel_depletion,SA,over-suppression,medium,High suppression (100 actions) with low efficiency (0.01)
random_terrain,CA,partial containment,medium,Moderate fire reduction but still significant burn area (60)
random_terrain,SA,none (aggressive),low,"Aggressive but effective suppression (100 actions, 2 burned)"
delayed_ignition,CA,over-spread,high,Policy failed to reduce fire significantly (burned 92 vs baseline 96)
delayed_ignition,SA,none (aggressive),low,"Aggressive but effective suppression (100 actions, 14 burned)"
dense_population,CA,over-spread,high,Policy failed to reduce fire significantly (burned 91 vs baseline 88)
dense_population,SA,none (aggressive),low,"Aggressive but effective suppression (100 actions, 15 burned)"
